4111	Pakolliset eläkevakuutusmaksut	EXPENSE		{}
4115	Vapaaehtoiset eläkevakuutusmaksut	EXPENSE		{}
4121	Sosiaaliturvamaksut	EXPENSE		{}
4131	Tapaturmavakuutusmaksut	EXPENSE		{}
4135	Ryhmähenkivakuutusmaksut	EXPENSE		{}
4141	Työttömyysvakuutusmaksut	EXPENSE		{}
4151	Muut henkilöstön vakuutusmaksut	EXPENSE		{}
__Muut kulut				
___Toiminnan kulut				
4201	Toiminnan kulut	EXPENSE		{}
4291	Muut toiminnan kulut	EXPENSE		{}
___Henkilökunnan kulut				
4301	Henkilökunnan koulutus	EXPENSE		{}
4311	Virkistys- ja harrastustoiminta	EXPENSE		{}
4321	Työterveyshuolto	EXPENSE		{}
4331	Henkilökunnan ruokailu	EXPENSE		{}
4341	Työvaatteet ja suojavälineet	EXPENSE		{}
4391	Muut henkilökunnan kulut	EXPENSE		{}
___Toimitilakulut				
4401	Toimitilavuokrat	EXPENSE		{}
4411	Sähkö	EXPENSE		{}
4413	Lämmitys	EXPENSE		{}
4415	Vesi ja jätevesi	EXPENSE		{}
4421	Rakennusten korjaus	EXPENSE		{}
4423	Ulkoalueiden huolto	EXPENSE		{}
4431	Siivous- ja puhtaanapito	EXPENSE		{}
4433	Jätehuolto	EXPENSE		{}
4441	Kiinteistövakuutukset	EXPENSE		{}
4451	Kiinteistövero	EXPENSE		{}
4461	Vartiointi- ja turvallisuuskulut	EXPENSE		{}
4491	Muut toimitilakulut	EXPENSE		{}
___Ajoneuvokulut				
4501	Ajoneuvovuokrat	EXPENSE		{}
4511	Ajoneuvojen polttoaine	EXPENSE		{}
4521	Ajoneuvojen huolto ja korjaus	EXPENSE		{}
4531	Ajoneuvojen julkiset maksut	EXPENSE		{}
4541	Ajoneuvovakuutukset	EXPENSE		{}
4591	Muut ajoneuvokulut	EXPENSE		{}
___Kone- ja kalustokulut				
4601	Kone- ja kalustohankinnat	EXPENSE		{}
4611	Kone- ja kalustovuokrat	EXPENSE		{}
4621	Koneiden ja kaluston korjaus	EXPENSE		{}
4631	Koneiden ja kaluston vakuutukset	EXPENSE		{}
4691	Muut kone- ja kalustokulut	EXPENSE		{}
___Matkakulut				
4701	Matkaliput	EXPENSE		{}
4711	Taksikulut	EXPENSE		{}
4721	Majoituskulut	EXPENSE		{}
4731	Matkavakuutukset	EXPENSE		{}
4741	Kilometrikorvaukset	EXPENSE		{}
4751	Päivärahat	EXPENSE		{}
4761	Ateriakorvaukset	EXPENSE		{}
4791	Muut matkakulut	EXPENSE		{}
___Markkinointikulut				
4801	Mainoskulut	EXPENSE		{}
4811	Messut ja näyttelyt	EXPENSE		{}
4821	Lahjoitukset	EXPENSE		{}
4841	Muut markkinointikulut	EXPENSE		{}
___Hallintopalvelut				
4851	Taloushallintopalvelut	EXPENSE		{}
4861	Tilintarkastuspalvelut	EXPENSE		{}
4871	Laki- ja konsultointipalvelut	EXPENSE		{}
4891	Muut hallintopalvelut	EXPENSE		{}
___Muut hallintokulut				
4901	Kirjat	EXPENSE		{}
4903	Lehdet	EXPENSE		{}
4911	Puhelinkulut	EXPENSE		{}
4913	Datasiirtokulut	EXPENSE		{}
4915	Postikulut	EXPENSE		{}
4921	Rahaliikenteen kulut	EXPENSE		{}
4931	Vastuuvakuutukset	EXPENSE		{}
4933	Esinevakuutukset	EXPENSE		{}
4935	Muut vakuutukset	EXPENSE		{}
4941	Toimistotarvikkeet	EXPENSE		{}
4951	Kokous- ja neuvottelukulut	EXPENSE		{}
4961	Edustuskulut	EXPENSE		{}
4971	Viranomaismaksut	EXPENSE		{}
4991	Muut hallintokulut	EXPENSE		{}
_Varainhankinta				
__Varainhankinnan tuotot				
5001	Jäsenmaksutulot	REVENUE		{}
5011	Kannatusmaksutulot	REVENUE		{}
5021	Mainostulot	REVENUE		{}
5031	Myyntitulot	REVENUE		{}
5041	Muut varainhankinnan tuotot	REVENUE		{}
__Varainhankinnan kulut				
5051	Jäsenmaksukulut	EXPENSE		{}
5061	Ostot (myytävät tuotteet)	EXPENSE		{}
5071	Myyntikulut	EXPENSE		{}
5081	Muut varainhankinnan kulut	EXPENSE		{}
_Sijoitus- ja rahoitustoiminta				
__Sijoitus- ja rahoitustoiminnan tuotot				
6001	Osinkotuotot	REVENUE		{}
6005	Osakkeiden arvonnousut	REVENUE		{}
6011	Korkotuotot	REVENUE		{}
6021	Vuokratuotot	REVENUE		{}
6031	Muut sijoitustoiminnan tuotot	REVENUE		{}
__Sijoitus- ja rahoitustoiminnan kulut				
6101	Korkokulut	EXPENSE		{}
6102	Pankin palvelumaksut	EXPENSE		{}
6111	Muut sijoitustoiminnan kulut	EXPENSE		{}
_Satunnaiset erät				
__Satunnaiset tuotot				
7001	Satunnaiset tuotot	REVENUE		{}
__Satunnaiset kulut				
7101	Satunnaiset kulut	EXPENSE		{}
_Yleisavustukset				
7501	Yleisavustukset	REVENUE		{}
_Poistot				
8001	Poistot koneista ja kalustosta	EXPENSE		{}
8011	Poistot rakennuksista	EXPENSE		{}
_Tilinpäätössiirrot				
9001	Poistoeron muutos	EXPENSE		{}
9011	Vapaaehtoisten varausten muutos	EXPENSE		{}
_Tuloverot ja muut välittömät verot				
9501	Tuloverot	EXPENSE		{}
9511	Muut välittömät verot	EXPENSE		{}
